Age,Credit_Score,Annual_Mileage,Vehicle_Ownership,Vehicle_Year,Speeding_Violations,Claim
24,351,17834,0,2018,6,1
26,452,7314,1,2017,1,1
41,610,9412,0,2020,0,0
18,843,8883,0,2011,9,1
61,688,16384,1,2011,1,0
25,847,15051,1,2000,7,1
41,476,13216,1,2019,9,1
28,661,16695,1,2007,2,0
68,613,28123,1,2016,3,1
34,396,12902,1,2020,7,1
25,512,18187,0,2019,2,1
52,436,22573,0,2021,5,1
52,305,28540,0,2006,1,1
50,408,28726,1,2008,2,1
22,846,17288,0,2016,0,0
59,338,19210,0,2009,8,1
56,724,11884,0,2003,3,0
58,560,24541,0,2021,5,1
45,725,15559,0,2006,6,1
24,386,26904,0,2006,1,1
26,764,23125,1,2007,7,1
25,375,8688,1,2023,8,1
29,770,28869,1,2023,9,1
51,713,19114,0,2007,1,0
50,756,10369,1,2015,4,0
65,584,27028,1,2011,1,1
40,538,16938,0,2014,4,1
41,671,9023,1,2007,6,1
54,794,20982,0,2021,5,1
52,344,22100,1,2008,3,1
61,700,8967,0,2002,1,0
57,546,12423,0,2021,6,1
39,749,11450,1,2020,9,1
44,784,17213,0,2015,8,1
52,317,8215,1,2014,0,1
18,588,29209,0,2023,2,1
52,713,5390,1,2003,6,1
54,534,24421,1,2019,8,1
64,715,5232,0,2015,4,0
31,798,24515,1,2009,6,1
20,414,12634,1,2010,9,1
18,533,16498,1,2004,6,1
22,839,15916,0,2010,3,0
43,310,5233,0,2012,4,1
31,505,6391,1,2014,1,1
56,546,16084,1,2005,7,1
44,426,14447,0,2015,0,1
26,446,19184,0,2014,1,1
32,417,16882,1,2010,2,1
32,681,19838,0,2019,6,1
43,711,22273,0,2001,5,1
59,662,12902,1,2001,6,1
30,808,17879,0,2011,4,0
68,436,22129,0,2015,3,1
49,474,14911,0,2018,6,1
56,588,5427,1,2001,2,1
66,780,5731,0,2016,9,1
69,318,5799,1,2013,6,1
49,494,27891,0,2023,1,1
21,629,12025,0,2015,7,1
47,474,19481,1,2004,5,1
54,748,12624,1,2009,2,0
40,653,29710,1,2016,2,1
56,798,19961,1,2012,4,0
62,440,26767,0,2015,2,1
32,392,27591,1,2008,5,1
60,538,23922,1,2023,1,1
46,504,25102,1,2003,7,1
53,732,13232,0,2023,8,1
30,544,8367,0,2015,6,1
49,616,26392,1,2022,2,1
24,594,18262,1,2010,9,1
68,581,10229,1,2006,3,1
39,316,28772,1,2016,9,1
45,370,23799,0,2021,1,1
19,568,18747,1,2012,8,1
59,624,28555,0,2003,4,1
62,604,24333,1,2013,1,1
23,750,9261,1,2009,9,1
45,306,26529,0,2009,5,1
45,613,8466,1,2009,6,1
61,402,18785,1,2011,1,1
61,492,8088,1,2001,0,1
37,828,18015,1,2022,6,1
47,470,6115,0,2008,0,1
28,836,9578,1,2004,2,0
45,550,7590,1,2007,3,1
42,686,12372,0,2020,1,0
56,506,8573,1,2013,6,1
50,840,7978,0,2006,4,0
18,715,15639,1,2006,0,0
44,679,14422,1,2008,7,1
69,443,15858,1,2002,9,1
30,324,28697,0,2013,6,1
58,372,28406,0,2016,3,1
20,392,9975,1,2017,1,1
56,804,9925,0,2011,6,1
23,635,29431,1,2021,1,1
25,724,29474,0,2013,5,1
44,798,29435,1,2012,0,1
26,663,26676,0,2013,6,1
54,498,28029,1,2008,6,1
50,712,15786,0,2018,3,0
68,638,26787,0,2001,3,1
59,728,24814,0,2010,9,1
61,438,19716,0,2016,4,1
41,841,6995,1,2001,1,0
32,356,27414,1,2018,8,1
49,531,18844,0,2006,9,1
49,734,8891,1,2017,3,0
41,683,20522,0,2012,8,1
58,493,12145,1,2004,2,1
69,833,13498,0,2017,8,1
66,817,14554,1,2022,0,0
66,484,7102,1,2023,6,1
69,591,8030,0,2023,3,1
29,634,13524,0,2015,6,1
56,415,13107,0,2014,9,1
19,348,21626,0,2007,5,1
20,381,23268,0,2014,3,1
66,632,19935,1,2000,3,0
54,634,29399,0,2016,7,1
66,831,14624,1,2014,6,1
34,520,28131,0,2013,3,1
66,622,29878,1,2013,5,1
19,302,20823,1,2009,5,1
19,505,25714,0,2001,0,1
45,339,12863,0,2005,1,1
40,358,8109,1,2016,3,1
54,806,23570,1,2004,5,1
49,421,17482,0,2004,5,1
50,778,6550,1,2014,0,0
18,395,5646,1,2014,7,1
36,713,27528,1,2019,1,1
19,534,26040,1,2010,4,1
61,361,18407,1,2004,3,1
43,555,17700,1,2000,4,1
49,647,5537,0,2010,4,0
23,423,19166,0,2010,9,1
49,781,11572,0,2005,7,1
21,616,5234,0,2022,9,1
28,803,19067,1,2007,6,1
34,347,14696,0,2001,8,1
55,708,19150,1,2014,0,0
41,435,27923,1,2022,5,1
22,500,22758,0,2021,5,1
69,549,6909,0,2008,1,1
51,613,17150,1,2014,7,1
23,667,28602,0,2007,5,1
39,728,5080,0,2015,9,1
28,779,7083,1,2013,8,1
65,613,18378,1,2014,9,1
33,799,20217,1,2019,4,1
50,654,23074,1,2012,6,1
26,784,22140,1,2008,5,1
23,510,7670,1,2000,4,1
33,343,8751,0,2005,5,1
46,840,16744,0,2007,3,0
20,391,10261,0,2019,2,1
37,564,19691,1,2017,0,1
53,519,11852,1,2017,0,1
36,741,6494,0,2016,5,0
43,700,27124,0,2020,8,1
20,699,29439,0,2015,7,1
36,789,22285,1,2012,1,1
37,784,5672,0,2021,8,1
49,769,13630,0,2003,7,1
24,744,15268,0,2003,8,1
69,568,5444,1,2020,3,1
58,566,14157,0,2013,8,1
50,353,16982,0,2004,1,1
57,827,13655,1,2015,0,0
56,819,23582,1,2013,8,1
35,358,7287,1,2013,9,1
57,339,16957,1,2013,7,1
18,536,9008,1,2023,6,1
28,685,16696,0,2013,7,1
45,599,14104,0,2018,0,1
42,694,5496,1,2002,8,1
67,506,6463,1,2016,9,1
40,635,28212,1,2013,8,1
48,813,25637,1,2009,8,1
47,477,17459,0,2012,5,1
59,695,21877,0,2021,3,1
52,670,26449,1,2003,1,1
24,617,26814,1,2010,3,1
33,668,22810,1,2014,6,1
43,683,14884,1,2014,0,0
65,361,23177,0,2023,8,1
69,804,7723,1,2001,2,0
66,538,22042,1,2010,3,1
19,494,9761,0,2001,4,1
18,521,12630,1,2022,2,1
65,360,21375,0,2004,3,1
29,428,13741,1,2012,4,1
22,455,9350,1,2000,0,1
54,677,5207,0,2006,8,1
49,736,9190,1,2006,9,1
26,506,6883,0,2009,9,1
58,687,7886,0,2005,3,0
52,779,21861,0,2019,8,1
36,639,13953,1,2011,3,0
65,639,13381,1,2012,0,0
33,503,28238,0,2023,4,1
20,460,18795,1,2010,8,1
37,839,22139,1,2017,2,1
41,691,14638,1,2001,4,0
50,833,9931,0,2015,2,0
41,369,14855,0,2001,2,1
69,704,10724,1,2018,0,0
28,816,17420,0,2005,1,0
66,419,25534,1,2000,1,1
25,516,9060,1,2010,8,1
53,355,9765,1,2017,6,1
55,665,24996,0,2009,7,1
57,803,11553,0,2017,1,0
37,754,12378,1,2000,8,1
52,403,23073,0,2018,2,1
65,376,22700,1,2015,9,1
42,529,12130,0,2006,1,1
52,557,8186,0,2014,0,1
42,563,10789,0,2000,8,1
46,630,21122,1,2022,7,1
35,481,22529,1,2020,3,1
63,849,25778,1,2008,6,1
35,326,12942,0,2001,2,1
19,575,12548,1,2016,2,1
52,598,21944,1,2023,3,1
33,390,23296,1,2009,1,1
58,779,23248,1,2005,9,1
53,757,5296,0,2004,3,0
50,750,7409,0,2007,9,1
21,664,29014,1,2007,2,1
50,650,6461,0,2004,7,1
31,699,25676,0,2011,1,1
38,552,7268,0,2006,8,1
65,758,22378,0,2012,2,1
37,798,11554,0,2012,3,0
25,807,21391,1,2016,9,1
24,603,23899,0,2003,9,1
20,800,22801,1,2017,2,1
34,465,23700,1,2009,2,1
50,714,12358,1,2002,7,1
65,761,25316,0,2011,7,1
29,413,27588,0,2000,5,1
68,732,22671,0,2010,3,1
39,655,22502,0,2017,0,1
39,506,12637,1,2012,3,1
63,534,5660,1,2016,7,1
47,741,13907,1,2007,5,0
55,654,11922,0,2019,1,0
55,814,16953,1,2018,2,0
62,507,29488,1,2016,6,1
68,424,27721,1,2001,3,1
25,437,23913,0,2002,3,1
44,638,8970,1,2002,4,0
44,836,8407,1,2005,7,1
51,367,14046,0,2009,6,1
38,840,28800,1,2023,8,1
47,682,19547,0,2021,4,0
50,318,9760,1,2017,0,1
45,749,23281,0,2017,3,1
64,373,27748,0,2013,5,1
50,575,29848,0,2015,5,1
22,347,18465,1,2006,8,1
65,510,9087,1,2000,9,1
36,839,25758,0,2016,4,1
21,490,12607,0,2022,4,1
52,614,9019,0,2004,5,0
66,412,5815,0,2000,5,1
34,469,17563,0,2020,2,1
61,767,18292,0,2016,5,0
45,313,28639,0,2009,7,1
47,587,21158,0,2011,5,1
46,488,5922,0,2019,4,1
63,454,17929,0,2001,2,1
23,770,19925,0,2022,0,0
52,374,26251,0,2015,4,1
58,576,22648,1,2014,5,1
54,642,25108,0,2012,5,1
41,724,15979,1,2017,5,0
46,810,7722,1,2019,2,0
66,481,10355,1,2021,3,1
63,757,18301,0,2013,2,0
48,363,7550,1,2017,1,1
52,559,26703,0,2001,7,1
50,492,16141,1,2001,6,1
69,705,28070,0,2002,7,1
38,392,23057,0,2004,5,1
49,729,25971,1,2015,6,1
40,733,16284,1,2021,0,0
50,703,26737,0,2014,9,1
20,733,28241,1,2011,4,1
35,411,23050,0,2008,3,1
42,674,25895,0,2013,9,1
59,358,27556,0,2020,2,1
48,342,6384,1,2015,1,1
20,506,25787,0,2010,8,1
57,595,25338,0,2005,7,1
63,417,27689,0,2009,9,1
41,831,13252,0,2007,1,0
67,521,12238,1,2015,5,1
49,465,28365,1,2002,2,1
64,455,11026,1,2001,2,1
39,483,27993,1,2015,4,1
40,389,15482,0,2018,6,1
19,393,18801,0,2008,6,1
44,312,21120,0,2015,9,1
59,737,20580,0,2021,0,1
19,837,13664,0,2003,6,1
43,449,22342,0,2009,6,1
34,307,5493,1,2018,5,1
57,328,28426,0,2012,5,1
50,595,21465,0,2017,1,1
26,639,11999,0,2014,2,0
60,738,18833,1,2003,2,0
65,443,7970,0,2008,2,1
56,818,5011,0,2003,1,0
46,344,29208,0,2015,8,1
59,538,20551,1,2020,5,1
43,454,22145,0,2014,1,1
52,480,8185,0,2023,2,1
67,514,21409,1,2001,9,1
42,387,6806,0,2013,5,1
41,555,28035,1,2002,3,1
30,810,10664,0,2021,6,1
24,372,19126,1,2022,5,1
53,478,17894,0,2003,5,1
62,511,10154,0,2000,2,1
37,533,27208,1,2022,7,1
18,764,18767,0,2008,8,1
25,522,25043,0,2016,5,1
63,563,20226,1,2013,1,1
33,506,6525,0,2016,0,1
31,665,5760,1,2000,2,0
29,575,21978,0,2009,2,1
68,679,28576,1,2022,7,1
40,608,18880,0,2015,4,0
32,567,6055,0,2018,0,1
45,363,15046,1,2023,3,1
51,649,8083,0,2002,6,1
19,793,20678,1,2011,4,1
49,822,17108,1,2002,9,1
40,397,25059,1,2014,5,1
39,370,14650,0,2016,9,1
68,663,10957,0,2017,3,0
42,575,10255,0,2006,1,1
39,349,14411,1,2018,8,1
39,657,25612,1,2006,1,1
66,784,21344,1,2004,1,1
69,383,25565,0,2007,1,1
59,595,14691,1,2020,0,1
23,535,23214,0,2015,2,1
32,355,8395,0,2015,5,1
60,659,6203,0,2018,6,1
54,409,24194,0,2014,0,1
50,491,24476,0,2006,4,1
25,392,8044,0,2004,4,1
61,359,27455,0,2022,0,1
61,338,12272,0,2010,3,1
22,839,26057,1,2009,9,1
56,348,8514,0,2020,0,1
21,719,14990,0,2022,0,0
23,312,11192,1,2008,6,1
62,335,15767,1,2000,6,1
49,400,21528,1,2019,2,1
69,385,12507,1,2000,6,1
47,815,9857,0,2007,2,0
64,522,17118,1,2002,1,1
52,637,22761,1,2001,9,1
57,465,8146,1,2003,3,1
69,682,26408,1,2018,9,1
33,675,22177,0,2010,2,1
30,770,10756,1,2004,6,1
67,330,9414,1,2023,0,1
59,674,22494,1,2009,5,1
47,310,27056,1,2023,1,1
36,601,25437,0,2022,7,1
34,395,8937,1,2007,4,1
36,489,8963,1,2012,2,1
45,752,26326,1,2004,9,1
43,491,10897,0,2011,6,1
54,785,13974,1,2012,1,0
43,565,19377,1,2021,4,1
40,723,22500,0,2007,7,1
26,427,21056,1,2014,0,1
29,537,6750,0,2012,0,1
18,654,9027,0,2000,2,0
18,411,16528,1,2021,2,1
64,745,10745,1,2005,6,1
51,642,26448,0,2010,5,1
49,444,14679,0,2012,6,1
65,364,10938,1,2020,3,1
42,546,17150,0,2019,1,1
57,789,18406,0,2000,1,0
62,738,24781,1,2010,9,1
18,405,29649,0,2010,0,1
33,480,22743,0,2007,8,1
56,483,9853,0,2021,6,1
22,525,23325,0,2002,9,1
39,388,8148,0,2018,2,1
46,829,21243,0,2011,1,1
20,670,12933,1,2005,2,0
29,698,14436,0,2022,6,1
43,405,22669,1,2007,4,1
33,570,11474,1,2004,2,1
68,802,19679,1,2009,8,1
54,824,16228,1,2021,1,0
39,331,5770,1,2015,6,1
46,692,6843,1,2011,9,1
31,339,5073,1,2016,5,1
45,517,23044,1,2005,5,1
22,381,21059,0,2008,6,1
64,500,25733,1,2009,5,1
66,746,28486,1,2019,1,1
47,727,13000,1,2013,4,0
63,337,25202,0,2013,2,1
69,510,18273,1,2016,8,1
22,743,21121,0,2015,7,1
29,626,5331,1,2003,9,1
33,526,22805,1,2001,1,1
43,347,12512,0,2015,0,1
43,317,28274,1,2000,3,1
65,738,9931,0,2002,3,0
38,486,17742,0,2022,9,1
56,644,27409,1,2010,1,1
53,523,18426,1,2015,6,1
50,787,25792,0,2017,2,1
47,528,10113,0,2014,6,1
54,689,13419,1,2008,6,1
40,487,7881,1,2011,0,1
27,569,18145,1,2017,5,1
22,609,18556,0,2004,3,0
53,431,24249,1,2023,7,1
51,371,7575,0,2007,7,1
69,486,17714,1,2002,2,1
48,785,11185,0,2001,3,0
27,490,13656,0,2018,0,1
36,721,10741,1,2007,9,1
49,419,21661,0,2001,1,1
18,519,5065,0,2018,6,1
22,352,9262,0,2000,6,1
62,750,10704,0,2021,8,1
21,711,20355,0,2012,9,1
33,536,13594,1,2022,8,1
41,705,17175,1,2019,8,1
33,721,29373,0,2016,5,1
19,546,17696,1,2002,7,1
66,371,11255,0,2008,8,1
45,484,12441,0,2004,6,1
49,305,26076,1,2005,3,1
44,505,19986,0,2003,3,1
37,843,18350,0,2016,5,0
41,686,19440,0,2020,3,0
29,375,25803,1,2020,6,1
67,476,12960,1,2020,7,1
52,648,27462,0,2015,7,1
50,554,22821,0,2015,7,1
50,607,28416,0,2021,1,1
68,644,27115,0,2010,9,1
60,426,24762,0,2001,1,1
54,586,18665,1,2016,1,1
29,786,29968,1,2014,1,1
20,682,27731,1,2017,3,1
18,705,27785,1,2009,4,1
50,687,11629,0,2005,3,0
57,824,18828,0,2020,4,0
27,575,9541,1,2015,3,1
60,799,12876,1,2004,6,1
61,636,18311,0,2011,9,1
46,780,29917,1,2005,0,1
30,572,29708,0,2013,0,1
29,357,19588,0,2022,1,1
48,627,21648,0,2015,0,1
63,408,17380,1,2006,9,1
19,578,14877,1,2001,9,1
68,627,22818,1,2005,2,1
67,614,26711,1,2008,5,1
52,773,10097,1,2006,9,1
40,410,23044,0,2001,5,1
34,528,27076,1,2018,0,1
43,796,23738,0,2007,5,1
25,455,29841,0,2010,4,1
46,772,11461,0,2003,6,1
43,571,12044,1,2015,5,1
27,301,10497,1,2017,6,1
43,810,25933,1,2012,1,1
51,585,27718,1,2004,0,1
68,312,27394,1,2001,6,1
58,797,18751,1,2010,8,1
24,537,26310,1,2000,1,1
21,393,14304,1,2012,6,1
67,637,15426,0,2004,2,0
62,470,16058,1,2017,5,1
28,766,27449,0,2013,2,1
46,442,16260,0,2012,9,1
53,500,23563,0,2006,4,1
42,479,26351,0,2007,1,1
38,663,5634,1,2017,7,1
53,778,25015,1,2006,7,1
27,770,15057,0,2019,6,1
54,683,18345,0,2016,5,0
26,716,15147,0,2015,0,0
41,607,26061,1,2010,7,1
52,666,23602,0,2018,0,1
66,300,6389,0,2000,7,1
52,343,18071,1,2020,1,1
65,397,16322,0,2007,7,1
53,564,9276,1,2000,9,1
35,439,17306,1,2008,3,1
66,780,6249,0,2018,6,1
56,536,29024,0,2020,4,1
49,371,27096,0,2008,7,1
41,489,22629,1,2020,5,1
40,567,13245,1,2009,4,1
49,620,16102,1,2023,0,0
54,406,21226,0,2022,2,1
29,531,15588,0,2010,9,1
66,341,5442,0,2000,8,1
30,438,11976,0,2019,8,1
40,572,9675,0,2007,4,1
42,780,16803,0,2019,2,0
52,715,12953,1,2011,5,0
58,805,9377,1,2000,4,0
47,723,15599,1,2009,0,0
34,706,12058,0,2003,1,0
66,689,22206,1,2014,4,1
37,641,16894,1,2018,8,1
65,792,7939,1,2005,3,0
42,491,28480,0,2004,8,1
39,798,27149,0,2004,2,1
30,532,6031,1,2017,0,1
36,526,15208,0,2002,5,1
66,670,5562,0,2021,9,1
53,438,15730,0,2001,6,1
29,448,21724,0,2003,3,1
58,414,25951,1,2017,9,1
36,749,21152,0,2008,4,1
29,362,18998,1,2018,3,1
26,403,29246,1,2009,2,1
24,572,23680,0,2021,0,1
45,305,21618,0,2014,5,1
31,446,26586,0,2000,9,1
48,483,14308,1,2010,4,1
69,327,14609,1,2013,0,1
36,849,22675,1,2009,4,1
64,418,26111,1,2018,5,1
33,592,13720,1,2023,9,1
22,670,15172,1,2020,4,0
52,543,19457,1,2015,0,1
29,517,7939,0,2007,4,1
42,476,19345,1,2001,9,1
69,598,21158,1,2022,0,1
38,357,10435,1,2006,2,1
53,568,28365,1,2018,1,1
40,607,10392,0,2006,0,0
33,587,12972,1,2014,3,1
56,404,22617,1,2007,1,1
62,527,24184,0,2013,4,1
59,546,19799,0,2000,9,1
56,793,24159,1,2012,0,1
31,382,20052,1,2002,9,1
48,485,11044,1,2020,0,1
22,551,24871,1,2005,9,1
52,654,28767,1,2018,3,1
40,509,19415,1,2014,6,1
46,746,25234,0,2003,1,1
60,759,26381,0,2020,1,1
28,771,22274,1,2002,0,1
35,669,18858,1,2003,4,0
64,791,27304,1,2004,5,1
29,436,22572,0,2017,5,1
26,666,10644,1,2009,1,0
27,483,22124,0,2007,6,1
61,586,22753,0,2011,5,1
34,771,23384,1,2021,7,1
55,674,22855,0,2002,5,1
24,836,22920,1,2017,8,1
63,810,21702,0,2022,9,1
30,549,10153,1,2007,1,1
57,809,6894,1,2000,6,1
59,372,12991,0,2013,4,1
26,581,20439,0,2021,0,1
67,659,14467,0,2022,2,0
44,309,29976,1,2012,3,1
19,510,10935,0,2011,1,1
22,451,22107,0,2002,6,1
46,304,7329,1,2017,0,1
54,494,14327,1,2020,2,1
55,582,7770,0,2012,8,1
36,763,28929,0,2014,1,1
25,412,9846,0,2009,4,1
65,570,21651,1,2000,3,1
62,462,21276,1,2005,2,1
18,759,19633,0,2008,4,0
39,404,18628,1,2009,5,1
69,581,5569,0,2014,0,1
34,461,6973,0,2008,1,1
24,650,7822,1,2022,0,0
42,733,25844,0,2013,2,1
62,439,5270,0,2010,7,1
21,770,21320,1,2006,7,1
53,431,12641,0,2023,3,1
23,386,13930,0,2001,5,1
48,482,11680,1,2013,8,1
36,667,6257,0,2005,6,1
61,428,13250,0,2004,1,1
56,545,10370,1,2004,1,1
44,677,9858,1,2018,2,0
27,448,13581,1,2018,7,1
43,732,18491,0,2005,9,1
36,768,28383,1,2009,8,1
56,745,17436,0,2022,2,0
20,780,17870,1,2013,8,1
62,593,21504,0,2016,9,1
30,442,11908,0,2002,7,1
67,549,15844,1,2000,4,1
45,601,23687,0,2009,9,1
37,324,9861,0,2002,2,1
45,369,7911,1,2004,6,1
25,411,13991,0,2018,8,1
58,663,16572,0,2009,5,0
56,602,15298,0,2015,2,0
18,770,12236,1,2000,4,0
20,390,10565,1,2005,6,1
30,829,27915,1,2008,7,1
45,491,22493,1,2004,3,1
66,541,11929,1,2013,1,1
42,437,22634,1,2009,9,1
50,644,29561,1,2001,1,1
55,479,23033,1,2004,2,1
23,802,12351,0,2000,7,1
61,502,27295,0,2009,0,1
62,491,24340,0,2021,6,1
49,304,19901,0,2008,5,1
62,536,15638,1,2002,1,1
64,610,10828,0,2014,8,1
38,848,26378,0,2003,4,1
33,355,16556,0,2012,1,1
38,742,27820,0,2005,2,1
28,536,28998,0,2019,6,1
54,496,23099,1,2016,6,1
53,813,13150,1,2022,9,1
52,748,15107,0,2004,0,0
36,659,24867,0,2014,9,1
37,329,29059,0,2007,3,1
35,407,6757,0,2004,5,1
64,744,23193,1,2023,7,1
58,737,26923,0,2012,2,1
66,756,27432,1,2000,2,1
31,794,16199,0,2000,7,1
32,546,21295,1,2006,7,1
48,842,17807,1,2021,7,1
18,738,22535,1,2004,0,1
20,577,10492,0,2013,7,1
33,410,28095,0,2014,7,1
40,684,11302,1,2020,1,0
28,490,20929,0,2016,8,1
29,789,9747,0,2023,6,1
27,725,19238,1,2017,7,1
49,704,13402,0,2006,1,0
33,634,15686,1,2021,3,0
25,508,9681,0,2017,6,1
55,321,23891,0,2018,5,1
29,507,24347,1,2019,6,1
41,307,8428,1,2006,0,1
45,828,12494,1,2007,7,1
25,465,8955,1,2012,6,1
45,795,25089,0,2017,3,1
53,728,19026,0,2023,0,0
43,462,25422,0,2010,7,1
25,665,14244,1,2008,9,1
67,825,5713,0,2022,6,1
45,538,28644,0,2000,7,1
45,371,16080,0,2021,9,1
54,744,28395,1,2007,0,1
58,808,13521,1,2020,4,0
53,568,6746,0,2011,8,1
44,714,22591,0,2001,4,1
34,544,22168,1,2014,9,1
26,359,7696,1,2020,2,1
50,305,17012,1,2023,8,1
37,706,19688,1,2017,8,1
30,516,28457,0,2016,3,1
45,325,10036,1,2014,3,1
65,304,12127,0,2019,7,1
46,831,8718,1,2019,6,1
30,689,27159,0,2008,4,1
63,747,12910,0,2002,5,0
52,445,7693,1,2019,2,1
23,687,22009,0,2018,5,1
35,548,20858,0,2017,7,1
68,825,25092,0,2019,9,1
22,761,28243,1,2007,8,1
64,312,20932,1,2000,2,1
42,683,12692,1,2023,7,1
19,698,11398,0,2023,2,0
27,318,12252,0,2014,1,1
47,790,16721,0,2018,4,0
67,718,22939,0,2009,3,1
62,636,16825,1,2011,4,0
22,718,9187,0,2005,5,0
50,421,29151,0,2012,2,1
18,731,5036,0,2003,0,0
35,343,23171,1,2012,3,1
49,616,11283,0,2016,5,0
64,680,20202,1,2000,1,1
66,444,13060,1,2004,1,1
28,626,13065,0,2023,0,0
38,662,8880,0,2016,8,1
43,349,10932,0,2017,2,1
42,364,13328,0,2006,1,1
39,654,11333,1,2015,3,0
44,463,27143,1,2007,5,1
66,440,27869,1,2011,0,1
30,427,18870,1,2013,8,1
50,697,16268,1,2018,8,1
51,762,10067,1,2010,7,1
58,486,20616,1,2011,5,1
52,489,17075,1,2012,3,1
18,687,22045,1,2007,1,1
38,728,12973,1,2000,7,1
65,583,27770,0,2008,6,1
23,536,15002,0,2001,3,1
45,493,12887,0,2013,2,1
34,586,5414,1,2012,5,1
22,435,11850,0,2015,0,1
48,470,29918,1,2001,1,1
22,458,7729,1,2003,6,1
55,500,16929,0,2011,2,1
20,786,19988,1,2015,0,0
40,803,8897,0,2009,1,0
54,670,7169,1,2002,9,1
54,402,18563,1,2003,9,1
27,424,23262,0,2005,8,1
27,612,27838,0,2022,6,1
36,757,17888,0,2004,6,1
34,529,9570,0,2017,9,1
38,496,6515,0,2002,7,1
31,722,21958,0,2009,7,1
26,470,17634,1,2010,8,1
63,681,24251,1,2018,1,1
18,472,18798,1,2013,7,1
68,752,24928,1,2020,7,1
62,649,9477,0,2010,4,0
30,793,21455,1,2020,4,1
21,303,24364,1,2003,3,1
18,392,26876,0,2023,4,1
66,305,14551,1,2021,1,1
57,587,26143,0,2005,1,1
49,445,29468,0,2016,4,1
51,723,19179,0,2021,2,0
45,756,5039,1,2018,0,0
48,501,15222,0,2012,8,1
25,511,26757,1,2021,1,1
56,305,28949,1,2009,9,1
43,675,21116,1,2010,1,1
51,746,23284,0,2005,3,1
20,405,23601,0,2001,1,1
67,700,21049,0,2000,6,1
29,395,9796,1,2010,9,1
18,687,9606,1,2015,0,0
61,751,22667,0,2002,1,1
22,715,13775,1,2004,4,0
47,803,19864,0,2014,1,0
